0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
Despacho Congresal,MEDINA HERMOSILLA ELIZABETH,03/11/2022,05/11/2022,Lima Argentina Lima,5396.75,4551,9947.75,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,SOTO PALACIOS WILSON,04/11/2022,06/11/2022,Lima Argentina Lima,5396.75,4551,9947.75,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,AGÜERO GUTIERREZ MARIA ANTONIERA,06/11/2022,08/11/2022,Lima Argentina Lima,7640.28,2558.04,10198.32,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,CORDOVA LOBATON MARIA JESSICA,07/11/2022,09/11/2022,Lima Argentina Lima,6088.5,2988.6,9077.1,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,CORDERO JON TAN LUIS GUSTAVO,06/11/2022,10/11/2022,Lima Francia Lima,8794.8,8120.22,16915.02,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,CORTEZ AGUIRRE ISABEL,06/11/2022,10/11/2022,Lima Francia Lima,2282.11,8125.64,10407.75,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,SALHUANA CAVIDES EDUARDO,06/11/2022,10/11/2022,Lima Francia Lima,2282.11,8105.57,10387.68,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,LOPEZ MORALES JENY LUZ,08/11/2022,11/11/2022,Lima Colombia Lima,4347.3,1020,5367.3,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,PAREDES CASTRO FRANCIS JHASMINA,07/11/2022,11/11/2022,Lima Colombia Lima,2387.65,2032,4419.65,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,TAIPE CORONADO MARIA ELIZABETH,11/11/2022,17/11/2022,Lima Egipto Lima,14953.05,10282.81,25235.86,RECURSOS ORDINARIOS,Mesa Directiva
