0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
Despacho Congresal,LIZARZABURU LIZARZABURU JUAN CARLOS,20/02/2022,23/02/2022,Lima Colombia Lima,3364.45,3665.96,7030.41,RECURSOS ORDINARIOS,Mesa Directiva
Asesor Cong. Lizarzaburu,ALLEMANT FLORINDEZ PATRICK PETER,20/02/2022,23/02/2022,Lima Colombia Lima,3212.59,2650.51,5863.1,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,ARCE ALVARADO JAVIER FERNANDO,27/02/2022,02/03/2022,Lima Colombia Lima,1667.52,3684.31,5351.83,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,PACHECO VILLAR GUSTAVO ADOLFO,27/02/2022,02/03/2022,Lima Colombia Lima,1642.99,3236.34,4879.33,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,RAMIREZ LARISBEASCOA JUAN CARLOS,27/02/2022,02/03/2022,Lima Colombia Lima,2414.99,3659.62,6074.61,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,LAZO VILLON LESLYE CAROL,27/02/2022,02/03/2022,Lima Colombia Lima,1667.52,3723.59,5391.11,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,GALARRETA VELARDE LUIS FERNANDO,27/02/2022,02/03/2022,Lima Colombia Lima,3443.1,3125.08,6568.18,RECURSOS ORDINARIOS,Mesa Directiva
Técnico Parlamentario vicepresidente PA,GASTAÑADUI RAMIREZ SANTIAGO,27/02/2022,02/03/2022,Lima Colombia Lima,1667.52,3842.8,5510.32,RECURSOS ORDINARIOS,Mesa Directiva
Asistente PA Arce,NAVARRO CARRANZA MARIO,27/02/2022,02/03/2022,Lima Colombia Lima,1667.52,3741.04,5408.56,RECURSOS ORDINARIOS,Mesa Directiva
Técnico PA Arce,PEREZ SOSA ANA,27/02/2022,02/03/2022,Lima Colombia Lima,2423.08,3876.15,6299.23,RECURSOS ORDINARIOS,Mesa Directiva
Asesor PA Ramirez,MAMANI BARRIGA JIM ALI,27/02/2022,02/03/2022,Lima Colombia Lima,2414.99,3834.77,6249.76,RECURSOS ORDINARIOS,Mesa Directiva
Asesor PA Ramirez,OYARCE CALDERON JOEL MARTIN,27/02/2022,02/03/2022,Lima Colombia Lima,2414.99,3693.64,6108.63,RECURSOS ORDINARIOS,Mesa Directiva
Asesor PA Lazo,TORRES SIAS JIMMY,27/02/2022,02/03/2022,Lima Colombia Lima,1667.52,3852.82,5520.34,RECURSOS ORDINARIOS,Mesa Directiva
Asesor PA Lazo,HIDALGO RODRIGUEZ JOSE ANTONIO,27/02/2022,02/03/2022,Lima Colombia Lima,1667.52,3658.93,5326.45,RECURSOS ORDINARIOS,Mesa Directiva
Auxiliar PA Pacheco,MOLINA LUJAN MARIANE,27/02/2022,02/03/2022,Lima Colombia Lima,1642.99,3447.59,5090.58,RECURSOS ORDINARIOS,Mesa Directiva
AsIstente PA Pacheco,CHEHADE MOYA OMAR,27/02/2022,02/03/2022,Lima Colombia Lima,1200.45,3253.46,4453.91,RECURSOS ORDINARIOS,Mesa Directiva
Asesor PA Galarreta,CASANOVA SAAVEDRA PEDRO,27/02/2022,02/03/2022,Lima Colombia Lima,3443.1,3261.59,6704.69,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"CAMONES SORIANO, LADY",08/02/2022,13/02/2022,Lima Panamá Lima,4146.97,0,4146.97,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"MONTEZA FACHO, SILVIA",08/02/2022,13/02/2022,Lima Panamá Lima,3982.78,0,3982.78,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"JERI ORE, JOSE ENRIQUE",08/02/2022,13/02/2022,Lima Panamá Lima,3765.6,0,3765.6,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"CHIRINOS VENEGAS, PATRICIA",08/02/2022,13/02/2022,Lima Panamá Lima,3765.6,0,3765.6,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"ANDERSON RAMIREZ, CARLOS",08/02/2022,13/02/2022,Lima Panamá Lima,3765.6,0,3765.6,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"TACURI VALDIVIA, GERMAN",08/02/2022,13/02/2022,Lima Panamá Lima,3929.8,0,3929.8,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"YARROW LUMBRERAS, NORMA",08/02/2022,13/02/2022,Lima Panamá Lima,3419.93,0,3419.93,RECURSOS ORDINARIOS,Mesa Directiva
Comisión de Parlatino,"ALVA PRIETO, MARIA DE CARMEN",08/02/2022,13/02/2022,Lima Panamá Lima,3393.26,0,3393.26,RECURSOS ORDINARIOS,Mesa Directiva
,,,,,,,,,
